controller,seed,window_size,start_step,end_step,count_noise_std,target_noise_std,hidden_weather_regime,hidden_weather_temp_c,hidden_weather_rain,hidden_weather_humidity,hidden_weather_wind,ground_truth_motorcycle_stopped_count,ground_truth_motorcycle_moving_count,ground_truth_car_stopped_count,ground_truth_car_moving_count,observed_motorcycle_stopped_count,observed_motorcycle_moving_count,observed_car_stopped_count,observed_car_moving_count,ground_truth_total_co2,ground_truth_total_co,ground_truth_total_nox,observed_total_co2,observed_total_co,observed_total_nox,measurement_error_co2,measurement_error_co,measurement_error_nox
fixed,0,10,0,9,0.030000,0.050000,heat,36.334439,0.008573,0.556702,0.071984,0,25,0,13,0,26,0,13,940.477670,46.704543,8.165209,983.316895,46.488946,8.405379,42.839225,-0.215597,0.240170
fixed,0,10,10,19,0.030000,0.050000,humid,29.939354,0.113413,0.732173,0.139359,6,67,1,65,6,64,1,62,4080.841081,191.961907,35.100063,4108.010743,183.507597,42.276283,27.169662,-8.454310,7.176220
fixed,0,10,20,29,0.030000,0.050000,clear,29.117672,0.000000,0.488187,0.160250,23,62,39,96,23,63,38,95,6498.866179,313.707926,55.281153,6728.230666,284.005358,60.805955,229.364486,-29.702569,5.524801
fixed,0,10,30,39,0.030000,0.050000,humid,30.785283,0.097721,0.776560,0.116997,24,67,33,159,23,67,34,154,9419.942276,440.916504,81.460209,10058.261850,438.968304,82.291246,638.319574,-1.948199,0.831037
fixed,0,10,40,49,0.030000,0.050000,rain,23.711553,0.644199,0.946175,0.248839,51,71,57,134,50,72,58,141,9831.163970,470.273317,85.048781,9944.140938,462.003226,87.870813,112.976968,-8.270091,2.822032
fixed,0,10,50,59,0.030000,0.050000,clear,25.397854,0.065469,0.403380,0.191296,86,33,78,112,85,32,83,109,8444.448930,422.148352,71.988950,8269.026446,437.144300,73.369982,-175.422484,14.995948,1.381032
fixed,0,10,60,69,0.030000,0.050000,rain,24.646190,0.425194,0.915775,0.261094,61,91,80,133,59,93,80,138,10063.879965,507.471099,88.950020,9360.839096,483.914973,82.041371,-703.040869,-23.556125,-6.908650
fixed,0,10,70,79,0.030000,0.050000,heat,36.832845,0.000000,0.555053,0.079318,47,157,68,171,50,160,65,172,12201.720698,600.621823,105.901422,11435.191904,625.201573,107.902518,-766.528794,24.579750,2.001095
fixed,0,10,80,89,0.030000,0.050000,heat,37.556286,0.000000,0.539275,0.037568,86,95,80,134,89,95,78,135,10465.735128,524.325630,90.456170,11315.549267,520.541553,85.319232,849.814138,-3.784077,-5.136937
fixed,0,10,90,99,0.030000,0.050000,rain,24.686432,0.489621,0.864181,0.190302,80,95,103,111,83,95,103,110,9867.839622,514.473181,86.948485,10108.755874,508.235091,89.489295,240.916252,-6.238090,2.540810
fixed,0,10,100,109,0.030000,0.050000,clear,28.216660,0.047203,0.512265,0.210772,46,139,80,146,45,131,81,149,10899.493886,546.005700,94.909741,11077.585650,586.277327,96.211379,178.091764,40.271627,1.301638
fixed,0,10,110,119,0.030000,0.050000,clear,28.110316,0.085619,0.489794,0.139358,84,81,124,116,86,82,131,116,10283.463898,527.547405,88.116710,10307.757299,504.038795,84.821824,24.293401,-23.508611,-3.294886
fixed,0,10,120,129,0.030000,0.050000,heat,36.727283,0.006595,0.579349,0.094345,105,74,151,101,104,73,148,100,10758.575846,557.531794,93.762619,10305.813530,530.218434,93.284140,-452.762317,-27.313360,-0.478478
fixed,0,10,130,139,0.030000,0.050000,humid,31.364402,0.001065,0.848139,0.144687,42,157,55,178,43,158,57,174,11743.097487,582.543396,104.165017,11895.511529,568.560191,96.413246,152.414042,-13.983204,-7.751771
fixed,0,10,140,149,0.030000,0.050000,rain,22.966772,0.529662,0.970555,0.206391,66,100,72,105,69,98,73,104,9484.612787,471.674760,83.086223,10235.478477,484.149200,86.249233,750.865691,12.474441,3.163010
fixed,0,10,150,159,0.030000,0.050000,rain,24.340379,0.576721,0.918225,0.251614,84,79,50,103,83,79,49,101,8386.615389,423.660458,72.866343,8181.691275,412.275451,73.939612,-204.924115,-11.385007,1.073269
fixed,0,10,160,169,0.030000,0.050000,clear,27.416645,0.000000,0.549607,0.122917,41,114,33,136,42,120,34,135,9312.517110,450.418135,80.653406,9623.292789,472.939807,69.118821,310.775680,22.521671,-11.534584
fixed,0,10,170,179,0.030000,0.050000,heat,35.501696,0.000000,0.607250,0.104447,56,46,64,108,56,45,64,108,8519.200792,407.462711,71.521089,7838.603766,369.407838,69.563588,-680.597026,-38.054873,-1.957501
fixed,0,10,180,189,0.030000,0.050000,humid,31.577102,0.001787,0.819450,0.152711,63,47,98,95,63,46,102,92,8546.008728,429.322928,71.748828,8345.227815,408.455844,75.302682,-200.780912,-20.867084,3.553854
fixed,0,10,190,199,0.030000,0.050000,clear,27.248160,0.019160,0.521401,0.222889,38,78,67,172,39,78,67,171,10992.136655,533.795890,94.979041,11736.987793,496.575587,103.883165,744.851138,-37.220303,8.904124
ai,0,10,0,9,0.030000,0.050000,rain,24.241698,0.576026,0.879734,0.239841,0,25,0,13,0,26,0,14,964.336117,47.657214,8.452302,940.824194,46.908755,7.603160,-23.511923,-0.748459,-0.849142
ai,0,10,10,19,0.030000,0.050000,humid,32.122447,0.004647,0.756675,0.151836,7,66,0,66,7,63,0,68,4082.060242,192.090804,35.171430,4264.407397,201.491644,35.219817,182.347154,9.400840,0.048387
ai,0,10,20,29,0.030000,0.050000,heat,36.365335,0.098623,0.606886,0.097044,37,54,13,120,39,54,13,119,7307.853467,337.679984,62.907817,6903.739761,318.049889,70.097161,-404.113706,-19.630095,7.189344
ai,0,10,30,39,0.030000,0.050000,heat,35.826306,0.000000,0.640618,0.128883,36,76,32,125,38,77,33,124,8220.680754,389.637693,70.980265,8396.298378,383.551468,71.428839,175.617624,-6.086225,0.448574
ai,0,10,40,49,0.030000,0.050000,clear,26.923432,0.020099,0.497900,0.216068,5,115,37,131,5,113,37,139,8429.176072,405.733631,72.903029,8124.069681,423.822048,69.022095,-305.106391,18.088417,-3.880934
ai,0,10,50,59,0.030000,0.050000,rain,26.054759,0.571505,0.947490,0.225788,14,62,46,154,14,63,49,155,9271.117955,438.732927,80.969440,9054.021537,455.997112,78.258734,-217.096418,17.264185,-2.710706
